iter	Logloss
0	0.5043959554
1	0.3707742103
2	0.3359866611
3	0.3193685428
4	0.2867784711
5	0.2747999591
6	0.2665133878
7	0.2588729518
8	0.2546684868
9	0.2504674248
10	0.2472259914
11	0.2444687176
12	0.2406274165
13	0.2372110796
14	0.2344295281
15	0.2326532323
16	0.2309337841
17	0.2302141311
18	0.2279854047
19	0.2255530444
20	0.2225485137
21	0.2219870192
22	0.2211857503
23	0.220152529
24	0.2159229972
25	0.2130204291
26	0.2113844723
27	0.2092127467
28	0.2087035359
29	0.2080663627
30	0.207478999
31	0.2057036085
32	0.2051516047
33	0.2041468864
34	0.2029706764
35	0.2018043227
36	0.2010410873
37	0.2006262829
38	0.2002896017
39	0.1993804166
40	0.1987063501
41	0.1979336825
42	0.1977400467
43	0.1972824586
44	0.1971600026
45	0.1966889708
46	0.1965278403
47	0.1963007543
48	0.1961702794
49	0.1954924901
50	0.1944999248
51	0.1938841447
52	0.1928885427
53	0.1925745081
54	0.1923267669
55	0.1916173008
56	0.1907712942
57	0.1900804266
58	0.1899484011
59	0.1896804757
60	0.1889215661
61	0.1887187584
62	0.1883783456
63	0.1882335438
64	0.1881207743
65	0.1878877666
66	0.1876250162
67	0.1874767596
68	0.1870398155
69	0.186957445
70	0.1863702038
71	0.1856539088
72	0.1849351575
73	0.1848821413
74	0.184193116
75	0.1839114651
76	0.1829078165
77	0.1823174081
78	0.1819859748
79	0.1814394901
80	0.1809248974
81	0.1801872555
82	0.1799497939
83	0.1797050251
84	0.1793605121
85	0.17909428
86	0.178994114
87	0.1787709454
88	0.1786341002
89	0.1784404774
90	0.178350484
91	0.1781257751
92	0.1778483506
93	0.1774865265
94	0.1773460684
95	0.1767012153
96	0.1764345079
97	0.1763345835
98	0.1761740083
99	0.1760541954
100	0.1757222854
101	0.1754634879
102	0.1753737381
103	0.1751264714
104	0.1750451211
105	0.1748476609
106	0.1747497307
107	0.1747021154
108	0.1745281662
109	0.1741167223
110	0.1739613344
111	0.1734464941
112	0.1732450732
113	0.1730933614
114	0.1728520271
115	0.1726587982
116	0.1725273596
117	0.1722286034
118	0.172066176
119	0.1718560495
120	0.1716732852
121	0.1713899967
122	0.1713616477
123	0.1709788958
124	0.1707656284
125	0.1706400228
126	0.1704495066
127	0.1703355354
128	0.1702165225
129	0.17000844
130	0.169842626
131	0.1698140851
132	0.1697920704
133	0.169701629
134	0.1695519759
135	0.1695065322
136	0.1694474948
137	0.1692339674
138	0.1691759139
139	0.1689911361
140	0.1688191749
141	0.168569665
142	0.1684949154
143	0.1684639772
144	0.1684447108
145	0.1683978357
146	0.1683536718
147	0.1681758493
148	0.1679801517
149	0.1679390731
150	0.1678388023
151	0.1677772067
152	0.1677533863
153	0.1676935123
154	0.1676211415
155	0.1674461991
156	0.1673949763
157	0.1672609066
158	0.1670609417
159	0.1670227015
160	0.1669060008
161	0.1667676176
162	0.1667194389
