iter	Passed	Remaining
716	16823	6640
717	16846	6616
718	16869	6592
719	16892	6569
720	16914	6545
721	16937	6521
722	16959	6497
723	16981	6473
724	17004	6449
725	17027	6426
726	17051	6402
727	17074	6379
728	17098	6356
729	17120	6332
730	17143	6308
731	17167	6285
732	17191	6262
733	17214	6238
734	17236	6214
735	17260	6191
736	17283	6167
737	17306	6144
738	17329	6120
739	17352	6096
740	17374	6072
741	17397	6049
742	17421	6026
743	17444	6002
744	17467	5978
745	17490	5955
746	17514	5931
747	17538	5908
748	17560	5884
749	17585	5861
750	17607	5838
751	17630	5814
752	17653	5790
753	17676	5767
754	17698	5743
755	17720	5719
756	17742	5695
757	17766	5672
758	17790	5648
759	17813	5625
760	17834	5601
761	17858	5577
762	17879	5553
763	17902	5530
764	17926	5506
765	17949	5483
766	17971	5459
767	17994	5435
768	18015	5411
769	18038	5388
770	18060	5364
771	18083	5340
772	18106	5317
773	18130	5293
774	18152	5270
775	18175	5246
776	18198	5222
777	18220	5199
778	18243	5175
779	18266	5151
780	18288	5128
781	18312	5104
782	18335	5081
783	18358	5057
784	18380	5034
785	18403	5010
786	18426	4987
787	18450	4963
788	18473	4940
789	18498	4917
790	18519	4893
791	18542	4869
792	18565	4846
793	18588	4822
794	18611	4799
795	18634	4775
796	18657	4752
797	18681	4728
798	18704	4705
799	18727	4681
800	18750	4658
801	18774	4634
802	18796	4611
803	18819	4587
804	18843	4564
805	18865	4540
806	18887	4517
807	18910	4493
808	18933	4470
809	18955	4446
810	18977	4422
811	18999	4398
812	19023	4375
813	19046	4352
814	19069	4328
815	19092	4305
816	19114	4281
817	19136	4257
818	19158	4234
819	19181	4210
820	19205	4187
821	19228	4163
822	19251	4140
823	19273	4116
824	19295	4093
825	19318	4069
826	19341	4046
827	19363	4022
828	19384	3998
829	19406	3974
830	19429	3951
831	19453	3928
832	19475	3904
833	19499	3881
834	19521	3857
835	19545	3834
836	19568	3810
837	19591	3787
838	19614	3763
839	19635	3740
840	19658	3716
841	19680	3693
842	19703	3669
843	19726	3646
844	19748	3622
845	19771	3599
846	19793	3575
847	19817	3552
848	19839	3528
849	19861	3504
850	19883	3481
851	19904	3457
852	19927	3434
853	19949	3410
854	19972	3387
855	19994	3363
856	20017	3340
857	20041	3316
858	20063	3293
859	20085	3269
860	20107	3246
861	20130	3222
862	20152	3199
863	20175	3175
864	20198	3152
865	20220	3128
866	20244	3105
867	20266	3082
868	20290	3058
869	20312	3035
870	20334	3011
871	20357	2988
872	20379	2964
873	20402	2941
874	20425	2917
875	20447	2894
876	20471	2871
877	20494	2847
878	20516	2824
879	20538	2800
880	20561	2777
881	20583	2753
882	20605	2730
883	20629	2706
884	20651	2683
885	20675	2660
886	20697	2636
887	20720	2613
888	20742	2589
889	20766	2566
890	20789	2543
891	20812	2519
892	20834	2496
893	20856	2472
894	20879	2449
895	20904	2426
896	20928	2403
897	20952	2379
898	20974	2356
899	20996	2332
900	21019	2309
901	21042	2286
902	21065	2262
903	21088	2239
904	21111	2216
905	21134	2192
906	21157	2169
907	21179	2145
908	21202	2122
909	21225	2099
910	21248	2075
911	21270	2052
912	21293	2029
913	21314	2005
914	21334	1981
915	21357	1958
916	21379	1935
917	21402	1911
918	21425	1888
919	21447	1865
920	21470	1841
921	21493	1818
922	21518	1795
923	21540	1771
924	21563	1748
925	21586	1725
926	21609	1701
927	21632	1678
928	21654	1654
929	21677	1631
930	21701	1608
931	21725	1585
932	21748	1561
933	21772	1538
934	21796	1515
935	21819	1491
936	21842	1468
937	21866	1445
938	21891	1422
939	21917	1398
940	21946	1376
941	21970	1352
942	21998	1329
943	22022	1306
944	22048	1283
945	22070	1259
946	22094	1236
947	22118	1213
948	22142	1189
949	22165	1166
950	22189	1143
951	22212	1119
952	22233	1096
953	22257	1073
954	22281	1049
955	22304	1026
956	22328	1003
957	22354	980
958	22377	956
959	22401	933
960	22441	910
961	22464	887
962	22488	864
963	22512	840
964	22536	817
965	22558	793
966	22583	770
967	22605	747
968	22628	723
969	22651	700
970	22675	677
971	22698	653
972	22722	630
973	22745	607
974	22767	583
975	22790	560
976	22812	537
977	22834	513
978	22857	490
979	22880	466
980	22904	443
981	22926	420
982	22948	396
983	22970	373
984	22992	350
985	23014	326
986	23037	303
987	23059	280
988	23082	256
989	23105	233
990	23127	210
991	23149	186
992	23172	163
993	23195	140
994	23219	116
995	23241	93
996	23263	70
997	23285	46
998	23308	23
999	23331	0
